Element,Reaction,T_start,T_end,DeltaH (kJ/mol),DeltaS (kJ/mol·K)
Ti,6Ti2O3 + O2 = 4Ti3O5,2128.0,2150.0,-1135.1063081233053,-0.3521826330532476
Tl,4Tl + O2 = 2Tl2O,573.0,577.0,-816.9259999999581,-1.0459999999999277
Tl,4Tl + O2 = 2Tl2O,577.0,773.0,-311.92146938775534,-0.17077551020408205
Tl,4Tl + O2 = 2Tl2O,773.0,1760.0,-222.51080040526844,-0.05510840932117532
Tl,4Tl + O2 = 2Tl2O,1760.0,2000.0,-1045.9693173333394,-0.5229825666666696
Tl,Tl2O + O2 = Tl2O3,573.0,577.0,57.00700000001029,0.196691507798978
Tl,Tl2O + O2 = Tl2O3,577.0,773.0,-156.27406433759947,-0.1729463853337945
Tl,Tl2O + O2 = Tl2O3,773.0,990.0,-200.97939882884268,-0.2307799357752477
Tl,Tl2O + O2 = Tl2O3,990.0,1200.0,-211.48072722593858,-0.24138733819655658
Tl,Tl2O + O2 = Tl2O3,1200.0,1760.0,111.23567563120643,0.027542997517730924
Tm,4/3Tm +O2 = 2/3Tm2O3,1873.0,2223.0,-1252.2711999999956,-0.18585627335824678
Tm,4/3Tm +O2 = 2/3Tm2O3,2223.0,2614.0,-1252.2712000000101,-0.18585627335825314
U,U + O2 = UO2,1405.0,3151.0,-1087.581195876289,-0.17253608247422694
V,2V + O2 = 2VO,2190.0,2350.0,-1231.9265000000003,-0.3399500000000001
V,2V + O2 = 2VO,2350.0,2500.0,-990.2133333333339,-0.23709333333333352
V,4VO + O2 = 2V2O3,2190.0,2240.0,427.16547999998204,0.37865199999999194
V,4VO2 + O2 = 2V2O5,943.0,1609.90829347658,4.207486768243259,0.08914858189908763
W,2/3W + O2 = 2/3WO3,1743.0,2100.0,-484.60564705882217,-0.11719887955182016
W,2/3W + O2 = 2/3WO3,2100.0,2500.0,-348.31799999999964,-0.05229999999999987
Y,4/3Y +O2 = 2/3Y2O3,1773.0,2698.0,-1266.073857818648,-0.19114464625981273
Y,4/3Y +O2 = 2/3Y2O3,2698.0,3609.0,-1266.0738578186397,-0.19114464625980976
Yb,4/3Yb +O2 = 2/3Yb2O3,1097.0,1469.0,-1205.410400000006,-0.1861250683682824
Zn,2Zn + O2 = 2ZnO,693.0,1180.0,-709.5015852156058,-0.21478439425051343
Zn,2Zn + O2 = 2ZnO,1180.0,2240.0,-921.8220377358488,-0.3947169811320755
Zn,2Zn + O2 = 2ZnO,2240.0,2340.0,-881.0566784000036,-0.3765181600000016
Zr,Zr + O2 = ZrO2,2125.0,2980.0,-1068.9018947368418,-0.17616842105263145
